"Capítulo (SH2) - Código";"Capítulo (SH2) - Descrição";"Posição (SH4) - Código";"Posição (SH4) - Descrição";"Subposição (SH6) - Código";"Subposição (SH6) - Descrição"
"01";"Animais vivos";"0101";"Cavalos, asininos e muares, vivos";"010110";"Animais vivos das espécies cavalar, asinina e muar, reprodutores de raça pura"
"01";"Animais vivos";"0101";"Cavalos, asininos e muares, vivos";"010111";"Cavalos reprodutores, de raça pura"
"01";"Animais vivos";"0101";"Cavalos, asininos e muares, vivos";"010119";"Outros cavalos, vivos"
"01";"Animais vivos";"0101";"Cavalos, asininos e muares, vivos";"010120";"Asininos e muares vivos"
"01";"Animais vivos";"0101";"Cavalos, asininos e muares, vivos";"010121";"Cavalos reprodutores de raça pura"
"01";"Animais vivos";"0101";"Cavalos, asininos e muares, vivos";"010129";"Cavalos vivos, exceto reprodutores de raça pura"
"01";"Animais vivos";"0101";"Cavalos, asininos e muares, vivos";"010130";"Animais da espécie asinina/muar, reprodutores de raça pura"
"01";"Animais vivos";"0101";"Cavalos, asininos e muares, vivos";"010190";"Animais vivos das espécies cavalar, asinina e muar, exceto reprodutores raça pura"
"01";"Animais vivos";"0102";"Animais vivos da espécie bovina";"010210";"Bovinos reprodutores de raça pura"
"01";"Animais vivos";"0102";"Animais vivos da espécie bovina";"010221";"Bovinos domésticos reprodutores de raça pura"
"01";"Animais vivos";"0102";"Animais vivos da espécie bovina";"010229";"Outros bovinos domésticos"
"01";"Animais vivos";"0102";"Animais vivos da espécie bovina";"010231";"Búfalos reprodutores de raça pura"
"01";"Animais vivos";"0102";"Animais vivos da espécie bovina";"010239";"Outros búfalos"
"01";"Animais vivos";"0102";"Animais vivos da espécie bovina";"010290";"Outros bovinos vivos"
"01";"Animais vivos";"0103";"Animais vivos da espécie suína";"010310";"Suínos reprodutores de raça pura"
"01";"Animais vivos";"0103";"Animais vivos da espécie suína";"010391";"Outros suínos vivos de peso inferior a 50 kg"
"01";"Animais vivos";"0103";"Animais vivos da espécie suína";"010392";"Outros suínos vivos de peso igual ou superior a 50 kg"
"01";"Animais vivos";"0104";"Animais vivos das espécies ovina e caprina";"010410";"Ovinos vivos"
"01";"Animais vivos";"0104";"Animais vivos das espécies ovina e caprina";"010420";"Caprinos vivos"
"01";"Animais vivos";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"010511";"Galos e galinhas vivos, das espécies domésticas, de peso não superior a 185 g"
"01";"Animais vivos";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"010512";"Peruas e perus vivos, da espécie doméstica, de peso não superior a 185 g"
"01";"Animais vivos";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"010513";"Patos"
"01";"Animais vivos";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"010514";"Gansos"
"01";"Animais vivos";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"010515";"Galinhas-d'angola (pintadas)"
"01";"Animais vivos";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"010519";"Patos, gansos, galinhas d'angola e outras aves vivas, da espécie doméstica, de peso não superior a 185 g"
"01";"Animais vivos";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"010592";"Outros galos e galinhas, vivos, de peso <= 2.000 g"
"01";"Animais vivos";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"010593";"Galos e galinhas, vivos, de peso superior a 2.000 g"
"01";"Animais vivos";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"010594";"Galos e galinhas vivos, das espécies domésticas, de peso superior a 185g"
"01";"Animais vivos";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"010599";"Patos, gansos, perus, galinhas d'angola e outras aves vivas, das espécies domésticas, de peso superior a 185 g"
"01";"Animais vivos";"0106";"Outros animais vivos";"010600";"Outros animais vivos"
"01";"Animais vivos";"0106";"Outros animais vivos";"010611";"Mamíferos primatas vivos"
"01";"Animais vivos";"0106";"Outros animais vivos";"010612";"Baleias, golfinhos e marsuínos; peixes-boi e dugongos, vivos"
"01";"Animais vivos";"0106";"Outros animais vivos";"010613";"Camelos e outros camelídeos (camelidae)"
"01";"Animais vivos";"0106";"Outros animais vivos";"010614";"Coelhos e lebres"
"01";"Animais vivos";"0106";"Outros animais vivos";"010619";"Outros mamíferos vivos"
"01";"Animais vivos";"0106";"Outros animais vivos";"010620";"Répteis vivos (incluídos as serpentes e tartarugas marinhas)"
"01";"Animais vivos";"0106";"Outros animais vivos";"010631";"Aves de rapina vivas"
"01";"Animais vivos";"0106";"Outros animais vivos";"010632";"Psitaciformes vivos (incluídos os papagaios, os periquitos, as araras e as cacatuas)"
"01";"Animais vivos";"0106";"Outros animais vivos";"010633";"Avestruzes; emus (Dromaius novaehollandiae)"
"01";"Animais vivos";"0106";"Outros animais vivos";"010639";"Outras aves vivas"
"01";"Animais vivos";"0106";"Outros animais vivos";"010641";"Abelhas"
"01";"Animais vivos";"0106";"Outros animais vivos";"010649";"Outros insetos"
"01";"Animais vivos";"0106";"Outros animais vivos";"010690";"Outros animais vivos"
"02";"Carnes e miudezas, comestíveis";"0201";"Carnes de animais da espécie bovina, frescas ou refrigeradas";"020110";"Carcaças e meias carcaças de bovino, frescas ou refrigeradas"
"02";"Carnes e miudezas, comestíveis";"0201";"Carnes de animais da espécie bovina, frescas ou refrigeradas";"020120";"Outras peças de bovino, não desossadas, frescas ou refrigeradas"
"02";"Carnes e miudezas, comestíveis";"0201";"Carnes de animais da espécie bovina, frescas ou refrigeradas";"020130";"Carnes de bovino, desossadas, frescas ou refrigeradas"
"02";"Carnes e miudezas, comestíveis";"0202";"Carnes de animais da espécie bovina, congeladas";"020210";"Carcaças e meias-carcaças de bovino, congeladas"
"02";"Carnes e miudezas, comestíveis";"0202";"Carnes de animais da espécie bovina, congeladas";"020220";"Outras peças de bovino, não desossadas, congeladas"
"02";"Carnes e miudezas, comestíveis";"0202";"Carnes de animais da espécie bovina, congeladas";"020230";"Carnes de bovino, desossadas, congeladas"
"02";"Carnes e miudezas, comestíveis";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"020311";"Carcaças e meias-carcaças de suíno, frescas ou refrigeradas "
"02";"Carnes e miudezas, comestíveis";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"020312";"Pernas, pás e pedaços de suíno, não desossados, frescos ou refrigerados "
"02";"Carnes e miudezas, comestíveis";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"020319";"Outras carnes de suíno, frescas ou refrigeradas"
"02";"Carnes e miudezas, comestíveis";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"020321";"Carcaças e meias-carcaças de suíno, congeladas "
"02";"Carnes e miudezas, comestíveis";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"020322";"Pernas, pás e pedaços de suínos, não desossados, congelados "
"02";"Carnes e miudezas, comestíveis";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"020329";"Outras carnes de suíno, congeladas"
"02";"Carnes e miudezas, comestíveis";"0204";"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas";"020410";"Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas "
"02";"Carnes e miudezas, comestíveis";"0204";"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas";"020421";"Carcaças e meias-carcaças de ovino, frescas ou refrigeradas "
"02";"Carnes e miudezas, comestíveis";"0204";"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas";"020422";"Outras carnes de ovino, não desossadas, frescas ou refrigeradas"
